Combo List

Number 	Result 		Material A 		Material B 	Success Rate 	Result
043 	Lightning Rod 	= 	Burst Arrowana 	+ 	Thunderbug 	75% 	1
044 	Bounce Bomb 	= 	Sm Barrel-Bomb 	+ 	Vespoid Wing 	75% 	1
045 	Bounce Bomb+ 	= 	Bounce Bomb 	+ 	Bomb Arrowana 	75% 	1
046 	Sonic Bomb 	= 	Gunpowder 	+ 	Screamer 	75% 	1
047 	Net 	= 	Spiderweb 	+ 	Ivy 	90% 	1
048 	Pitfall Trap 	= 	Net 	+ 	Trap Tool 	75% 	1
049 	Shock Trap 	= 	Trap Tool 	+ 	Genprey Fang 	90% 	1
050 	Tuna Bait 	= 	Worm 	+ 	Yambug 	95% 	1
051 	Arrowana Bait 	= 	Cricket 	+ 	Bughopper 	95% 	1
052 	Goldenfish Bait 	= 	Firefly 	+ 	Snakebee Larva 	90% 	1
053 	Old Pickaxe 	= 	Stone 	+ 	Bone 	95% 	1
054 	Iron Pickaxe 	= 	Iron Ore 	+ 	Bone 	75% 	1
055 	Mega Pickaxe 	= 	Machalite Ore 	+ 	Bone 	95% 	1
056 	Old Bugnet 	= 	Net 	+ 	Mystery Bone 	95% 	1
057 	Bugnet 	= 	Net 	+ 	Sm Monster Bone 	75% 	1
058 	Mega Bugnet 	= 	Net 	+ 	Med Monster Bone 	95% 	1
059 	Antiseptic Stone 	= 	Earth Crystal 	+ 	Bitterbug 	75% 	1
060 	Lifecrystals 	= 	Godbug 	+ 	Wyvern Fang 	90% 	1
061 	Lifepowder 	= 	Lifecrystals 	+ 	Wyvern Claw 	65% 	1
062 	Health Flute 	= 	Lifepowder 	+ 	Flute 	65% 	1
063 	Antidote FLute 	= 	Flute 	+ 	Antiseptic Stone 	65% 	1
064 	Demon Flute 	= 	Mega Demondrug 	+ 	Med Monster Bone 	55% 	1
065 	Armor Flute 	= 	Mega Armorskin 	+ 	Med Monster Bone 	55% 	1
066 	Poison Thrw Knf 	= 	Throwing Knife 	+ 	Toadstool 	90% 	1
067 	Sleeping Thr Knf 	= 	Throwing Knife 	+ 	Sleep Herb 	90% 	1
068 	Paralyze Thrw Knf 	= 	Throwing Knife 	+ 	Parashroom 	90% 	1
069 	Boomerang 	= 	Whetstone 	+ 	Sm Monster Bone 	90% 	1
070 	Powertalon 	= 	Powercharm 	+ 	Lao-Shan's Claw 	100% 	1
071 	Armortalon 	= 	Armorcharm 	+ 	Lao-Shan's Claw 	100% 	1
072 	Normal S Lvl2 	= 	Huskberry 	+ 	Needleberry 	95% 	2~4
073 	Normal S Lvl3 	= 	Huskberry 	+ 	Rumblefish 	95% 	2~4
074 	Pierce S Lvl1 	= 	Huskberry 	+ 	Velociprey Fang 	90% 	1~3
075 	Pierce S Lvl2 	= 	Huskberry 	+ 	Pin Tuna 	75% 	1~3
076 	Pierce S Lvl3 	= 	Sm Bone Husk 	+ 	Pin Tuna 	75% 	1~3
077 	Pallet S Lvl1 	= 	Huskberry 	+ 	Scatternut 	90% 	1~3
078 	Pallet S Lvl2 	= 	Huskberry 	+ 	Wyvern Fang 	75% 	1~3
079 	Pallet S Lvl3 	= 	Sm Bone Husk 	+ 	Wyvern Fang 	75% 	1~3
080 	Crag S Lvl1 	= 	Huskberry 	+ 	Burst Arrowana 	90% 	1
081 	Crag S Lvl2 	= 	Sm Bone Husk 	+ 	Burst Arrowana 	90% 	1
082 	Crag S Lvl3 	= 	Lg Bone Husk 	+ 	Burst Arrowana 	95% 	1
083 	Clust S Lvl1 	= 	Huskberry 	+ 	Bomberry 	90% 	1
084 	Clust S Lvl2 	= 	Sm Bone Husk 	+ 	Wyvern Claw 	75% 	1
085 	Clust S Lvl3 	= 	Lg Bone Husk 	+ 	Scatterfish 	75% 	1
086 	Flaming S 	= 	Huskberry 	+ 	Fire Herb 	90% 	1
087 	Water S 	= 	Huskberry 	+ 	Knife Mackerel 	75% 	1~3
088 	Thunder S 	= 	Huskberry 	+ 	Flashbug 	75% 	2~4
089 	Freeze S 	= 	Huskberry 	+ 	Ice Crystal 	75% 	1~3
090 	Dragon S 	= 	Lg Bone Husk 	+ 	Dragon Seed 	75% 	1
091 	Recov S Lvl1 	= 	Huskberry 	+ 	Herb 	90% 	1
092 	Recov S Lvl2 	= 	Potion 	+ 	Huskberry 	90% 	1
093 	Poison S Lvl1 	= 	Huskberry 	+ 	Toadstool 	90% 	1
094 	Poison S Lvl2 	= 	Sm Bone Husk 	+ 	Ioprey Fang 	75% 	1
095 	Para S Lvl1 	= 	Huskberry 	+ 	Parashroom 	90% 	1
096 	Para S Lvl2 	= 	Sm Bone Husk 	+ 	Genprey Fang 	90% 	1
097 	Sleep S Lvl1 	= 	Huskberry 	+ 	Sleep Herb 	90% 	1
098 	Sleep S Lvl2 	= 	Sm Bone Husk 	+ 	Sleepyfish 	75% 	1
099 	Paint S 	= 	Huskberry 	+ 	Paintberry 	90% 	1
100 	Demon S 	= 	Huskberry 	+ 	Power Seed 	75% 	1
101 	Armor S 	= 	Huskberry 	+ 	Armor Seed 	75% 	1
102 	Empty Bottle 	= 	Sm Bone Husk 	+ 	Whetstone 	85% 	1~2
103 	Poison Coating 	= 	Empty Bottle 	+ 	Toadstool 	90% 	1~2
104 	ParalysisCoating 	= 	Empty Bottle 	+ 	Parashroom 	85% 	1~2
105 	Sleep Coating 	= 	Empty Bottle 	+ 	Sleep Herb 	90% 	1~2
106 	Power Coating 	= 	Empty Bottle 	+ 	Nitroshroom 	85% 	1~2
107 	CloseRngCoating 	= 	Empty Bottle 	+ 	Knife Mackerel 	85% 	1~2
108 	Paint Coating 	= 	Empty Bottle 	+ 	Paintberry 	90% 	1~2
109 	Tranquilizer 	= 	Sleepy Herb 	+ 	Parashroom 	65% 	1
110 	Tranq Thrwng Knf 	= 	Tranquilizer 	+ 	Throwing Knife 	65% 	1
111 	Tranq Bomb 	= 	Tranquilizer 	+ 	Bomb Material 	75% 	1
112 	Tranq S 	= 	Tranquilizer 	+ 	Sm Bone Husk 	90% 	1
113 	Armor Sphere 	= 	Machalite Ore 	+ 	Armor Stone 	100% 	1
114 	Armor Sphere 	= 	Armor Stone 	+ 	Killer Beetle 	100% 	1
115 	Armor Sphere+ 	= 	Dragonite Ore 	+ 	Armor Stone 	100% 	1
116 	Armor Sphere+ 	= 	Armor Stone 	+ 	Hercudrome 	100% 	1
117 	Hrd Armor Sphere 	= 	Carbalite Ore 	+ 	Armor Stone 	100% 	1
118 	Hrd Armor Sphere 	= 	Armor Stone 	+ 	King Scarab 	100% 	1
119 	Hvy Armor Sphere 	= 	Purecrystal 	+ 	Armor Stone 	100% 	1
120 	Ryl Armor Sphere 	= 	Eltalite Ore 	+ 	Armor Stone 	100% 	1
121 	Ryl Armor Sphere 	= 	Armor Stone 	+ 	Emperor Cricket 	100% 	1
122 	Tru Armor Sphere 	= 	Mellanje Ore 	+ 	Armor Stone 	100% 	1
123 	Tru Armor Sphere 	= 	Armor Stone 	+ 	PhantomButterfly 	100% 	1
124 	Disk Stone 	= 	Expand Pickaxe 	+ 	Disk Stone 	100% 	5
125 	Iron Ore 	= 	Expand Pickaxe 	+ 	Iron Ore 	100% 	5
126 	Earth Crystal 	= 	Expand Pickaxe 	+ 	Earth Crystal 	100% 	3
127 	Machalite Ore 	= 	Expand Pickaxe 	+ 	Machalite Ore 	100% 	3
128 	Dragonlite Ore 	= 	Expand Pickaxe 	+ 	Dragonlite Ore 	100% 	3
129 	Carbalite Ore 	= 	Expand Pickaxe 	+ 	Carbalite Ore 	100% 	2
130 	Eltalite Ore 	= 	Expand Pickaxe 	+ 	Eltalite Ore 	100% 	2
131 	Union Ore 	= 	Expand Pickaxe 	+ 	Union Ore 	100% 	2
132 	Mellanje Ore 	= 	Expand Pickaxe 	+ 	Mellanje Ore 	100% 	2
133 	Firestone 	= 	Expand Pickaxe 	+ 	Firestone 	100% 	2
134 	Firecell Stone 	= 	Expand Pickaxe 	+ 	Firecell Stone 	100% 	2
135 	Lightcrystal 	= 	Expand Pickaxe 	+ 	Lightcrystal 	100% 	2
136 	Novacrystal 	= 	Expand Pickaxe 	+ 	Novacrystal 	100% 	2
137 	Purecrystal 	= 	Expand Pickaxe 	+ 	Purecrystal 	100% 	2
138 	Monster Bone+ 	= 	Expand Pickaxe 	+ 	Monster Bone+ 	100% 	3
139 	Hrd Monster Bone 	= 	Expand Pickaxe 	+ 	Hrd Monster Bone 	100% 	2
140 	Hvy Monster Bone 	= 	Expand Pickaxe 	+ 	Hvy Monster Bone+ 	100% 	2
141 	Carpenterbug 	= 	Expand Pickaxe 	+ 	Carpenterbug 	100% 	5
142 	Killer Beetle 	= 	Expand Pickaxe 	+ 	Killer Beetle 	100% 	3
143 	Hercudrome 	= 	Expand Pickaxe 	+ 	Hercudrome 	100% 	3
144 	Rare Scarab 	= 	Expand Pickaxe 	+ 	Rare Scarab 	100% 	2
145 	King Scarab 	= 	Expand Pickaxe 	+ 	King Scarab 	100% 	3
146 	Emperor Cricket 	= 	Expand Pickaxe 	+ 	Emperor Cricket 	100% 	2
147 	PhantomButterfly 	= 	Expand Pickaxe 	+ 	PhantomButterfly 	100% 	2
148 	Pokke Snowman 	= 	Blngo Blzrd Ball 	+ 	Blngo Flrry Ball 	100% 	1
149 	Felyne Crown 	= 	Inferior FlynCrn 	+ 	Flyn Crwn Frgmnt 	100% 	1
150 	GldFlynJewelSwd 	= 	Hndlelss Gld Bld 	+ 	GldBladelessHndl 	100% 	1
151 	Dynasty Vase 	= 	Bttmlss Old Vase 	+ 	Old Vase Bottom 	100% 	1
152 	Mysterious Mask 	= 	Holed Shaka Mask 	+ 	Shakalaka Stone 	100% 	1
153 	Eldr Drgn Rfrnc 	= 	Torn Old Book 	+ 	Old Book Scrap 	100% 	1
154 	AncntCatKingStat 	= 	TaillessCatStatu 	+ 	BrokenStoneTail 	100% 	1 


Alchemy

Number 	Result 		Material A 		Material B 	Success Rate 	Result
155 	Honey 	= 	Firefly 	+ 	Special Mushroom 	90% 	1
156 	Herb 	= 	Sap Plant 	+ 	Insect Husk 	95% 	1
157 	Fire Herb 	= 	Garbage 	+ 	Hot Pepper 	90% 	1
158 	Blue Mushroom 	= 	Antidote Herb 	+ 	Toadstool 	95% 	1
159 	Raw Meat 	= 	Burnt Meat 	+ 	Insect Husk 	95% 	1
160 	Large Barrel 	= 	Ivy 	+ 	Med Monster Bone 	65% 	1
161 	Small Barrel 	= 	Sap Plant 	+ 	Sm Monster Bone 	75% 	1
162 	Huskberry 	= 	Huskberry 	+ 	Iron Ore 	75% 	5
163 	Needleberry 	= 	Needleberry 	+ 	Earth Crystal 	75% 	5
164 	Sushifish 	= 	Antidote Herb 	+ 	Sleepyfish 	75% 	1
165 	Rare Steak 	= 	Thunderbug 	+ 	Velociprey Hide 	90% 	1
166 	Screamer 	= 	Frog 	+ 	Flute 	75% 	1
167 	Monster Fluid 	= 	Ice Crystal 	+ 	Sleep Sac 	55% 	1
168 	Psychoserum 	= 	Cactus Flower 	+ 	Thunderbug 	75% 	1
169 	Power Extract 	= 	Dragon Seed 	+ 	Piscine Liver 	65% 	1
170 	Power Seed 	= 	Bomberry 	+ 	Velociprey Hide 	65% 	1
171 	Armor Seed 	= 	Needleberry 	+ 	Giaprey Hide 	65% 	1
172 	Rare Fish 	= 	Burnt Fish 	+ 	Sunset Herb 	90% 	1 
